传记: 英国(19.23%) 美国(19.23%) 法国(10.58%) 
剧情: 日本(10.58%) 英国(10.58%) 美国(10.58%) 
动作: 美国(35.09%) 日本(31.58%) 英国(12.28%) 
励志: 美国(24.39%) 日本(21.95%) 英国(14.63%) 
喜剧: 英国(15.50%) 美国(15.50%) 日本(15.50%) 
家庭: 美国(23.81%) 日本(16.67%) 英国(15.48%) 
恐怖: 美国(66.67%) 英国(20.00%) 日本(13.33%) 
悬疑: 英国(37.74%) 美国(28.30%) 日本(15.09%) 
情色: 美国(50.00%) 法国(25.00%) 日本(25.00%) 
战争: 美国(23.88%) 日本(20.90%) 英国(19.40%) 
文艺: 美国(20.83%) 法国(18.75%) 英国(12.50%) 
暴力: 美国(78.95%) 英国(15.79%) 俄罗斯(5.26%) 
爱情: 英国(17.39%) 美国(17.39%) 日本(17.39%) 
犯罪: 英国(33.90%) 美国(33.90%) 日本(10.17%) 
科幻: 英国(30.77%) 日本(30.77%) 美国(29.23%) 
青春: 美国(25.64%) 日本(19.23%) 英国(15.38%) 
音乐: 日本(10.05%) 英国(10.05%) 美国(10.05%) 
黑色幽默: 美国(33.90%) 英国(28.81%) 法国(10.17%) 
